Name,APID,LENGTH
beacon,1,249
des_hk,11,21
des_task,14,163
des_sched,13,213
des_time,19,5
mem_dump,6,133
fp_hk,7,21
lib_hk,9,13
tbl_hk,8,25
seq_hk,5,22
tlm_hk,60,177
cmd_hk,12,20
time_hk,18,17
sband_hk,52,43
sd_hk,42,21
uhf_hk,40,46
uhf_pass,41,249
cip_hk,47,33
cip_msg_hk,51,13
mode_hk,53,65
daxss_msg_hk,46,13
daxss_hk,45,37
ana_hk,2,113
adcs_msg_hk,44,13
adcs_hk,43,25
adcs_analogs,215,28
adcs_gps,218,49
adcs_clock_sync,213,41
adcs_tracker,207,149
adcs_refs,203,134
adcs_time,202,34
adcs_imu,212,37
adcs_cal,219,101
adcs_att_det,204,73
adcs_tracker_ctrl,220,47
adcs_att_ctrl,208,73
adcs_tables,216,22
adcs_general,201,58
adcs_att_cmd,205,61
adcs_tracker2,217,150
adcs_tlm_proc,214,13
adcs_ext_tracker2,221,114
adcs_rw_drive,206,150
adcs_momentum,209,57
adcs_css,210,52
adcs_mag,211,45
adcs_command_tlm,200,25
cip_soh,50,27
cip_sci1,48,235
cip_sci2,49,53
daxss_log,176,119
daxss_sci,178,245
adcs_l0,54,37
